beginTimeSeconds,CPU percent,Uptime,Rx packets,Tx packets,NetBytes In,NetBytes Out,NetPackets In,NetPackets Out,Disk read/s,Disk write/s,Free Disk,Free Memory,Used Disk,Used Memory,Disk Used percent,Memory Used percent
2023-03-01 00:00:00,35.89,99.4234,1800,1800,15,15,15,15,14.12,44.97,76.93,3.75,43.86,4.44,27.57,54.23
2023-03-01 00:30:00,36.57,99.4233,1800,1800,15,15,15,15,5.19,41.19,76.94,3.76,43.84,4.43,27.55,54.14
2023-03-01 01:00:00,37.94,99.4232,1800,1800,15,15,15,15,23.64,70.99,77.0,3.77,43.78,4.41,27.52,53.91
2023-03-01 01:30:00,37.4,99.4231,1800,1800,15,15,15,15,5.25,38.45,77.0,3.78,43.79,4.41,27.52,53.86
2023-03-01 02:00:00,38.08,99.423,1800,1800,15,15,15,15,9.42,43.94,77.01,3.76,43.77,4.43,27.51,54.11
2023-03-01 02:30:00,39.68,99.4229,1800,1800,15,15,15,15,116.85,52.29,77.05,3.74,43.73,4.45,27.49,54.3
2023-03-01 03:00:00,38.72,99.4228,1800,1800,15,15,15,15,48.73,73.95,77.05,3.75,43.74,4.44,27.49,54.23
2023-03-01 03:30:00,38.24,99.4227,1800,1800,15,15,15,15,8.68,37.76,76.99,3.76,43.79,4.42,27.53,54.03
2023-03-01 04:00:00,37.63,99.4225,1800,1800,15,15,15,15,8.15,37.52,77.0,3.76,43.79,4.43,27.52,54.08
2023-03-01 04:30:00,37.4,99.4224,1800,1800,15,15,15,15,14.01,35.86,77.03,3.74,43.75,4.45,27.5,54.32
2023-03-01 05:00:00,38.1,99.4223,1800,1800,15,15,15,15,30.51,62.13,77.04,4.22,43.74,3.97,27.49,48.42
2023-03-01 05:30:00,37.93,99.4222,1800,1800,15,15,15,15,12.77,35.75,76.98,4.18,43.8,4.0,27.53,48.9
2023-03-01 06:00:00,36.86,99.4221,1800,1800,15,15,15,15,4.52,33.81,76.98,4.06,43.8,4.13,27.53,50.4
2023-03-01 06:30:00,38.27,99.422,1800,1800,15,15,15,15,3.78,30.39,77.01,3.98,43.77,4.2,27.51,51.34
2023-03-01 07:00:00,37.2,99.4219,1800,1800,15,15,15,15,20.26,58.24,77.01,3.93,43.77,4.26,27.51,52.05
2023-03-01 07:30:00,37.8,99.4218,1800,1800,15,15,15,15,4.02,29.66,76.96,3.89,43.82,4.3,27.54,52.46
2023-03-01 08:00:00,37.37,99.4217,1800,1800,15,15,15,15,3.85,30.81,76.96,3.87,43.82,4.32,27.54,52.75
2023-03-01 08:30:00,37.84,99.4216,1800,1800,15,15,15,15,4.24,29.95,76.99,3.87,43.8,4.32,27.53,52.79
2023-03-01 09:00:00,37.89,99.4215,1800,1800,15,15,15,15,12.12,64.55,76.99,3.86,43.79,4.33,27.53,52.85
2023-03-01 09:30:00,37.92,99.4214,1800,1800,15,15,15,15,4.57,32.13,76.94,3.85,43.84,4.33,27.56,52.93
2023-03-01 10:00:00,37.46,99.4213,1800,1800,15,15,15,15,3.49,32.11,76.95,3.85,43.84,4.34,27.55,52.98
2023-03-01 10:30:00,38.62,99.4212,1800,1800,15,15,15,15,3.25,30.02,76.97,3.85,43.81,4.34,27.54,53.01
2023-03-01 11:00:00,39.08,99.4211,1800,1800,15,15,15,15,3.91,61.78,76.97,3.83,43.82,4.36,27.54,53.22
2023-03-01 11:30:00,39.19,99.4209,1800,1800,15,15,15,15,4.65,32.19,76.92,3.82,43.87,4.37,27.57,53.37
2023-03-01 12:00:00,39.24,99.4208,1800,1800,15,15,15,15,13.18,39.5,76.93,3.81,43.86,4.37,27.57,53.42
2023-03-01 12:30:00,39.96,99.4207,1800,1800,15,15,15,15,8.35,36.59,76.96,3.81,43.83,4.38,27.55,53.45
2023-03-01 13:00:00,40.39,99.4206,1800,1800,15,15,15,15,10.05,65.29,76.96,3.78,43.82,4.41,27.54,53.8
2023-03-01 13:30:00,40.74,99.4205,1800,1800,15,15,15,15,31.02,67.93,76.89,3.79,43.89,4.4,27.59,53.76
2023-03-01 14:00:00,39.43,99.4204,1800,1800,15,15,15,15,30.54,56.95,76.68,3.79,44.1,4.4,27.72,53.71
2023-03-01 14:30:00,38.58,99.4203,1800,1800,15,15,15,15,6.0,39.72,76.73,3.8,44.05,4.39,27.69,53.55
2023-03-01 15:00:00,40.16,99.4202,1800,1800,15,15,15,15,29.5,75.05,76.81,3.81,43.97,4.38,27.64,53.53
2023-03-01 15:30:00,38.84,99.4201,1800,1800,15,15,15,15,9.59,44.03,76.86,3.8,43.92,4.39,27.6,53.59
2023-03-01 16:00:00,39.0,99.42,1800,1800,15,15,15,15,5.76,39.55,76.91,3.8,43.88,4.39,27.58,53.59
2023-03-01 16:30:00,39.74,99.4199,1800,1800,15,15,15,15,11.32,41.12,76.95,3.79,43.83,4.4,27.55,53.71
2023-03-01 17:00:00,43.94,99.4198,1800,1800,15,15,15,15,16.09,105.37,76.93,3.67,43.85,4.52,27.56,55.14
2023-03-01 17:30:00,45.56,99.4197,1800,1800,15,15,15,15,14.73,57.86,76.88,3.68,43.9,4.5,27.59,55.0
2023-03-01 18:00:00,39.87,99.4196,1800,1800,15,15,15,15,12.27,43.82,76.88,3.71,43.9,4.48,27.59,54.66
2023-03-01 18:30:00,39.92,99.4195,1800,1800,15,15,15,15,4.65,37.33,76.91,3.72,43.87,4.47,27.57,54.63
2023-03-01 19:00:00,40.04,99.4193,1800,1800,15,15,15,15,4.98,65.34,76.92,3.7,43.87,4.49,27.57,54.82
2023-03-01 19:30:00,40.32,99.4192,1800,1800,15,15,15,15,3.88,35.81,76.87,3.68,43.91,4.51,27.6,55.03
2023-03-01 20:00:00,41.24,99.4191,1800,1800,15,15,15,15,4.35,39.05,76.89,3.67,43.89,4.52,27.59,55.16
2023-03-01 20:30:00,40.56,99.419,1800,1800,15,15,15,15,5.28,38.08,76.92,3.66,43.86,4.53,27.57,55.28
2023-03-01 21:00:00,40.27,99.4189,1800,1800,15,15,15,15,25.2,74.38,76.91,3.66,43.88,4.53,27.58,55.33
2023-03-01 21:30:00,45.85,99.4188,1800,1800,15,15,15,15,9.35,55.83,76.85,3.64,43.93,4.54,27.61,55.49
2023-03-01 22:00:00,46.24,99.4187,1800,1800,15,15,15,15,6.66,56.99,76.88,3.63,43.91,4.56,27.6,55.65
2023-03-01 22:30:00,48.56,99.4186,1800,1800,15,15,15,15,10.13,108.35,76.89,3.5,43.9,4.69,27.59,57.31
2023-03-01 23:00:00,48.15,99.4185,1800,1800,15,15,15,15,10.32,128.01,76.86,3.51,43.93,4.68,27.61,57.14
2023-03-01 23:30:00,47.3,99.4184,1800,1800,15,15,15,15,18.48,80.67,76.79,3.46,43.99,4.72,27.65,57.7
2023-03-02 00:00:00,46.49,99.4183,1800,1800,15,15,15,15,6.73,47.38,76.8,3.55,43.98,4.64,27.64,56.64
2023-03-02 00:30:00,45.39,99.4182,1800,1800,15,15,15,15,4.3,46.85,76.84,3.56,43.94,4.63,27.62,56.58
2023-03-02 01:00:00,44.69,99.4181,1800,1800,15,15,15,15,5.16,76.55,76.83,3.58,43.95,4.61,27.63,56.33
2023-03-02 01:30:00,37.4,99.418,1800,1800,15,15,15,15,5.24,42.06,76.77,3.62,44.01,4.56,27.66,55.74
2023-03-02 02:00:00,37.51,99.4179,1800,1800,15,15,15,15,13.7,49.8,76.8,3.61,43.98,4.58,27.64,55.88
